# y+ ()       
# Time        	patch         	min           	max           	average       
4.2           	lowerWall	1.867069e+00	1.107153e+02	3.430654e+01
4.25          	rightWall	1.847939e-01	2.888248e+01	9.315985e+00
4.25          	leftWall	2.447809e-01	4.131855e+01	1.156867e+01
4.25          	lowerWall	1.890528e+00	1.117890e+02	3.413326e+01
4.3           	rightWall	3.081688e-01	2.928975e+01	9.462857e+00
4.3           	leftWall	2.612388e-01	4.053301e+01	1.122029e+01
4.3           	lowerWall	2.038838e+00	1.110396e+02	3.398866e+01
4.35          	rightWall	4.025932e-01	2.983232e+01	9.713840e+00
4.35          	leftWall	2.845146e-01	3.972393e+01	1.078807e+01
4.35          	lowerWall	2.032088e+00	1.099685e+02	3.379747e+01
4.4           	rightWall	7.444820e-01	3.033146e+01	9.878067e+00
4.4           	leftWall	2.251168e-01	3.889862e+01	1.045348e+01
4.4           	lowerWall	1.865984e+00	1.089111e+02	3.358900e+01
4.45          	rightWall	1.139900e+00	3.085833e+01	1.031543e+01
4.45          	leftWall	2.383606e-01	3.802586e+01	1.015433e+01
4.45          	lowerWall	2.029809e+00	1.080380e+02	3.336359e+01
4.5           	rightWall	1.116347e+00	3.159031e+01	1.043175e+01
4.5           	leftWall	3.332228e-01	3.714091e+01	9.802583e+00
4.5           	lowerWall	1.909928e+00	1.071839e+02	3.306290e+01
4.55          	rightWall	9.875284e-01	3.202953e+01	1.070784e+01
4.55          	leftWall	3.454963e-01	3.624703e+01	9.449164e+00
4.55          	lowerWall	1.947973e+00	1.052612e+02	3.207563e+01
4.6           	rightWall	7.310459e-01	3.275041e+01	1.091460e+01
4.6           	leftWall	2.602968e-01	3.533631e+01	9.171802e+00
4.6           	lowerWall	1.357089e+00	9.048190e+01	3.069592e+01
4.65          	rightWall	4.789707e-01	3.329696e+01	1.097331e+01
4.65          	leftWall	3.454682e-01	3.447961e+01	8.990972e+00
4.65          	lowerWall	1.637935e+00	7.487554e+01	2.950720e+01
4.7           	rightWall	3.002234e-01	3.396960e+01	1.124048e+01
4.7           	leftWall	3.374626e-01	3.361302e+01	8.955179e+00
4.7           	lowerWall	1.435747e+00	6.858455e+01	2.840892e+01
4.75          	rightWall	4.351351e-01	3.476012e+01	1.141961e+01
4.75          	leftWall	2.714679e-01	3.278194e+01	8.785056e+00
4.75          	lowerWall	1.404073e+00	6.235448e+01	2.743838e+01
4.8           	rightWall	4.370347e-01	3.567878e+01	1.153189e+01
4.8           	leftWall	3.006649e-01	3.194372e+01	8.643734e+00
4.8           	lowerWall	1.585831e+00	5.643022e+01	2.670664e+01
4.85          	rightWall	2.399940e-01	3.669891e+01	1.164901e+01
4.85          	leftWall	4.200010e-01	3.120256e+01	8.480681e+00
4.85          	lowerWall	1.637866e+00	6.307765e+01	2.639504e+01
4.9           	rightWall	3.711308e-01	3.774601e+01	1.178115e+01
4.9           	leftWall	4.834282e-01	3.044122e+01	8.328312e+00
4.9           	lowerWall	1.885434e+00	6.949384e+01	2.606341e+01
4.95          	rightWall	2.521807e-01	3.880583e+01	1.204113e+01
4.95          	leftWall	5.054883e-01	2.965560e+01	8.248498e+00
4.95          	lowerWall	1.749198e+00	7.564706e+01	2.597099e+01
5             	rightWall	3.288518e-01	3.987867e+01	1.233340e+01
5             	leftWall	3.015311e-01	2.884752e+01	8.238001e+00
5             	lowerWall	1.512257e+00	8.179644e+01	2.554426e+01
5.05          	rightWall	4.999290e-01	4.094644e+01	1.267850e+01
5.05          	leftWall	4.781196e-01	2.804581e+01	8.168836e+00
5.05          	lowerWall	6.363641e-01	8.149013e+01	2.514149e+01
5.1           	rightWall	5.645425e-01	4.196158e+01	1.297177e+01
5.1           	leftWall	1.998879e-01	2.725969e+01	8.068725e+00
5.1           	lowerWall	6.288860e-01	7.797787e+01	2.478850e+01
5.15          	rightWall	5.778563e-01	4.291240e+01	1.318372e+01
5.15          	leftWall	3.375439e-01	2.648572e+01	8.002611e+00
5.15          	lowerWall	6.428032e-01	7.941050e+01	2.451711e+01
5.2           	rightWall	5.876537e-01	4.376164e+01	1.343975e+01
5.2           	leftWall	4.163037e-01	2.575063e+01	7.981739e+00
5.2           	lowerWall	7.848129e-01	8.099122e+01	2.432805e+01
5.25          	rightWall	5.874651e-01	4.449055e+01	1.375968e+01
5.25          	leftWall	4.031888e-01	2.507732e+01	7.812329e+00
